Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
29-Aug-2018,173.11,-0.07,-0.04%,173.11,173.11,173.11,
28-Aug-2018,173.18,+1.85,+1.08%,173.18,173.18,173.18,
27-Aug-2018,171.33,-1.65,-0.95%,171.33,171.33,171.33,
24-Aug-2018,172.98,-0.33,-0.19%,172.98,172.98,172.98,
23-Aug-2018,173.31,-0.65,-0.37%,173.31,173.31,173.31,
22-Aug-2018,173.96,-0.35,-0.20%,173.96,173.96,173.96,
20-Aug-2018,174.31,-0.28,-0.16%,174.31,174.31,174.31,
17-Aug-2018,174.59,+0.64,+0.37%,174.59,174.59,174.59,
16-Aug-2018,173.95,-0.76,-0.44%,173.95,173.95,173.95,
15-Aug-2018,174.71,+0.23,+0.13%,174.71,174.71,174.71,
14-Aug-2018,174.48,+0.97,+0.56%,174.48,174.48,174.48,
13-Aug-2018,173.51,+0.67,+0.39%,173.51,173.51,173.51,
10-Aug-2018,172.84,-1.11,-0.64%,172.84,172.84,172.84,
09-Aug-2018,173.95,+0.37,+0.21%,173.95,173.95,173.95,
08-Aug-2018,173.58,+2.58,+1.51%,173.58,173.58,173.58,
07-Aug-2018,171.00,+0.24,+0.14%,171.00,171.00,171.00,
06-Aug-2018,170.76,-0.41,-0.24%,170.76,170.76,170.76,
03-Aug-2018,171.17,+0.39,+0.23%,171.17,171.17,171.17,
02-Aug-2018,170.78,+0.85,+0.50%,170.78,170.78,170.78,
01-Aug-2018,169.93,-0.53,-0.31%,169.93,169.93,169.93,
31-Jul-2018,170.46,-1.82,-1.06%,170.46,170.46,170.46,
30-Jul-2018,172.28,-0.19,-0.11%,172.28,172.28,172.28,
27-Jul-2018,172.47,-0.19,-0.11%,172.47,172.47,172.47,
26-Jul-2018,172.66,-0.57,-0.33%,172.66,172.66,172.66,
25-Jul-2018,173.23,+0.85,+0.49%,173.23,173.23,173.23,
24-Jul-2018,172.38,-0.05,-0.03%,172.38,172.38,172.38,
23-Jul-2018,172.43,+0.06,+0.03%,172.43,172.43,172.43,
20-Jul-2018,172.37,-1.74,-1.00%,172.37,172.37,172.37,
19-Jul-2018,174.11,+0.97,+0.56%,174.11,174.11,174.11,
18-Jul-2018,173.14,+0.92,+0.53%,173.14,173.14,173.14,
17-Jul-2018,172.22,+1.16,+0.68%,172.22,172.22,172.22,
16-Jul-2018,171.06,-0.21,-0.12%,171.06,171.06,171.06,
13-Jul-2018,171.27,-0.59,-0.34%,171.27,171.27,171.27,
12-Jul-2018,171.86,-0.37,-0.21%,171.86,171.86,171.86,
11-Jul-2018,172.23,-1.93,-1.11%,172.23,172.23,172.23,
10-Jul-2018,174.16,+0.24,+0.14%,174.16,174.16,174.16,
09-Jul-2018,173.92,+0.97,+0.56%,173.92,173.92,173.92,
06-Jul-2018,172.95,-0.04,-0.02%,172.95,172.95,172.95,
05-Jul-2018,172.99,+1.62,+0.95%,172.99,172.99,172.99,
04-Jul-2018,171.37,+1.57,+0.92%,171.37,171.37,171.37,
03-Jul-2018,169.80,-2.91,-1.68%,169.80,169.80,169.80,
02-Jul-2018,172.71,-1.65,-0.95%,172.71,172.71,172.71,
29-Jun-2018,174.36,-1.14,-0.65%,174.36,174.36,174.36,
28-Jun-2018,175.50,-0.03,-0.02%,175.50,175.50,175.50,
27-Jun-2018,175.53,+1.43,+0.82%,175.53,175.53,175.53,
26-Jun-2018,174.10,+1.14,+0.66%,174.10,174.10,174.10,
25-Jun-2018,172.96,+0.22,+0.13%,172.96,172.96,172.96,
22-Jun-2018,172.74,+2.55,+1.50%,172.74,172.74,172.74,
21-Jun-2018,170.19,+0.05,+0.03%,170.19,170.19,170.19,
20-Jun-2018,170.14,-3.34,-1.93%,170.14,170.14,170.14,
19-Jun-2018,173.48,-4.25,-2.39%,173.48,173.48,173.48,
18-Jun-2018,177.73,-0.46,-0.26%,177.73,177.73,177.73,
14-Jun-2018,178.19,-0.02,-0.01%,178.19,178.19,178.19,
13-Jun-2018,178.21,-0.11,-0.06%,178.21,178.21,178.21,
12-Jun-2018,178.32,+0.03,+0.02%,178.32,178.32,178.32,
11-Jun-2018,178.29,+1.62,+0.92%,178.29,178.29,178.29,
08-Jun-2018,176.67,-0.36,-0.20%,176.67,176.67,176.67,
07-Jun-2018,177.03,+0.38,+0.22%,177.03,177.03,177.03,
06-Jun-2018,176.65,+2.83,+1.63%,176.65,176.65,176.65,
05-Jun-2018,173.82,+1.46,+0.85%,173.82,173.82,173.82,
04-Jun-2018,172.36,-0.17,-0.10%,172.36,172.36,172.36,
31-May-2018,172.53,-0.67,-0.39%,172.53,172.53,172.53,
30-May-2018,173.20,-0.89,-0.51%,173.20,173.20,173.20,
29-May-2018,174.09,-0.64,-0.37%,174.09,174.09,174.09,
28-May-2018,174.73,-0.64,-0.36%,174.73,174.73,174.73,
25-May-2018,175.37,-1.19,-0.67%,175.37,175.37,175.37,
24-May-2018,176.56,-0.48,-0.27%,176.56,176.56,176.56,
23-May-2018,177.04,-1.10,-0.62%,177.04,177.04,177.04,
22-May-2018,178.14,+0.42,+0.24%,178.14,178.14,178.14,
21-May-2018,177.72,-1.53,-0.85%,177.72,177.72,177.72,
18-May-2018,179.25,+0.49,+0.27%,179.25,179.25,179.25,
17-May-2018,178.76,+1.14,+0.64%,178.76,178.76,178.76,
16-May-2018,177.62,+2.75,+1.57%,177.62,177.62,177.62,
15-May-2018,174.87,-0.47,-0.27%,174.87,174.87,174.87,
14-May-2018,175.34,-1.40,-0.79%,175.34,175.34,175.34,
11-May-2018,176.74,-1.51,-0.85%,176.74,176.74,176.74,
10-May-2018,178.25,-2.93,-1.62%,178.25,178.25,178.25,
09-May-2018,181.18,+2.44,+1.37%,181.18,181.18,181.18,
08-May-2018,178.74,-0.51,-0.28%,178.74,178.74,178.74,
07-May-2018,179.25,-0.11,-0.06%,179.25,179.25,179.25,
04-May-2018,179.36,+4.40,+2.51%,179.36,179.36,179.36,
03-May-2018,174.96,-0.88,-0.50%,174.96,174.96,174.96,
02-May-2018,175.84,-3.69,-2.06%,175.84,175.84,175.84,
30-Apr-2018,179.53,+0.05,+0.03%,179.53,179.53,179.53,
27-Apr-2018,179.48,-0.31,-0.17%,179.48,179.48,179.48,
26-Apr-2018,179.79,-0.75,-0.42%,179.79,179.79,179.79,
25-Apr-2018,180.54,+0.58,+0.32%,180.54,180.54,180.54,
24-Apr-2018,179.96,-0.71,-0.39%,179.96,179.96,179.96,
23-Apr-2018,180.67,-2.06,-1.13%,180.67,180.67,180.67,
20-Apr-2018,182.73,-0.95,-0.52%,182.73,182.73,182.73,
19-Apr-2018,183.68,-1.17,-0.63%,183.68,183.68,183.68,
18-Apr-2018,184.85,-2.00,-1.07%,184.85,184.85,184.85,
17-Apr-2018,186.85,-2.82,-1.49%,186.85,186.85,186.85,
16-Apr-2018,189.67,-1.68,-0.88%,189.67,189.67,189.67,
13-Apr-2018,191.35,-1.47,-0.76%,191.35,191.35,191.35,
12-Apr-2018,192.82,-1.34,-0.69%,192.82,192.82,192.82,
11-Apr-2018,194.16,+0.96,+0.50%,194.16,194.16,194.16,
10-Apr-2018,193.20,+0.14,+0.07%,193.20,193.20,193.20,
09-Apr-2018,193.06,-1.80,-0.92%,193.06,193.06,193.06,
06-Apr-2018,194.86,-1.71,-0.87%,194.86,194.86,194.86,
05-Apr-2018,196.57,+2.67,+1.38%,196.57,196.57,196.57,
04-Apr-2018,193.90,+1.98,+1.03%,193.90,193.90,193.90,
03-Apr-2018,191.92,+0.69,+0.36%,191.92,191.92,191.92,
29-Mar-2018,191.23,+1.89,+1.00%,191.23,191.23,191.23,
28-Mar-2018,189.34,-1.20,-0.63%,189.34,189.34,189.34,
27-Mar-2018,190.54,-0.90,-0.47%,190.54,190.54,190.54,
26-Mar-2018,191.44,-0.73,-0.38%,191.44,191.44,191.44,
23-Mar-2018,192.17,+0.50,+0.26%,192.17,192.17,192.17,
22-Mar-2018,191.67,+1.22,+0.64%,191.67,191.67,191.67,
21-Mar-2018,190.45,+1.84,+0.98%,190.45,190.45,190.45,
20-Mar-2018,188.61,+1.96,+1.05%,188.61,188.61,188.61,
19-Mar-2018,186.65,+2.56,+1.39%,186.65,186.65,186.65,
16-Mar-2018,184.09,+1.21,+0.66%,184.09,184.09,184.09,
15-Mar-2018,182.88,-0.69,-0.38%,182.88,182.88,182.88,
14-Mar-2018,183.57,+0.83,+0.45%,183.57,183.57,183.57,
13-Mar-2018,182.74,+1.49,+0.82%,182.74,182.74,182.74,
12-Mar-2018,181.25,+0.65,+0.36%,181.25,181.25,181.25,
09-Mar-2018,180.60,-0.67,-0.37%,180.60,180.60,180.60,
08-Mar-2018,181.27,-0.89,-0.49%,181.27,181.27,181.27,
07-Mar-2018,182.16,+1.14,+0.63%,182.16,182.16,182.16,
06-Mar-2018,181.02,+0.11,+0.06%,181.02,181.02,181.02,
05-Mar-2018,180.91,-0.35,-0.19%,180.91,180.91,180.91,
02-Mar-2018,181.26,-0.73,-0.40%,181.26,181.26,181.26,
01-Mar-2018,181.99,+0.22,+0.12%,181.99,181.99,181.99,
28-Feb-2018,181.77,+1.09,+0.60%,181.77,181.77,181.77,
27-Feb-2018,180.68,+0.04,+0.02%,180.68,180.68,180.68,
26-Feb-2018,180.64,-0.14,-0.08%,180.64,180.64,180.64,
23-Feb-2018,180.78,+0.03,+0.02%,180.78,180.78,180.78,
22-Feb-2018,180.75,-0.96,-0.53%,180.75,180.75,180.75,
21-Feb-2018,181.71,-0.03,-0.02%,181.71,181.71,181.71,
20-Feb-2018,181.74,+1.53,+0.85%,181.74,181.74,181.74,
19-Feb-2018,180.21,-0.04,-0.02%,180.21,180.21,180.21,
16-Feb-2018,180.25,+1.59,+0.89%,180.25,180.25,180.25,
15-Feb-2018,178.66,-0.30,-0.17%,178.66,178.66,178.66,
14-Feb-2018,178.96,+0.61,+0.34%,178.96,178.96,178.96,
13-Feb-2018,178.35,+0.57,+0.32%,178.35,178.35,178.35,
12-Feb-2018,177.78,-2.18,-1.21%,177.78,177.78,177.78,
09-Feb-2018,179.96,-0.43,-0.24%,179.96,179.96,179.96,
08-Feb-2018,180.39,+2.28,+1.28%,180.39,180.39,180.39,
07-Feb-2018,178.11,-3.27,-1.80%,178.11,178.11,178.11,
06-Feb-2018,181.38,-0.53,-0.29%,181.38,181.38,181.38,
05-Feb-2018,181.91,+0.22,+0.12%,181.91,181.91,181.91,
02-Feb-2018,181.69,+0.12,+0.07%,181.69,181.69,181.69,
01-Feb-2018,181.57,+0.97,+0.54%,181.57,181.57,181.57,
31-Jan-2018,180.60,-0.44,-0.24%,180.60,180.60,180.60,
30-Jan-2018,181.04,-0.12,-0.07%,181.04,181.04,181.04,
29-Jan-2018,181.16,-0.53,-0.29%,181.16,181.16,181.16,
26-Jan-2018,181.69,+1.14,+0.63%,181.69,181.69,181.69,
25-Jan-2018,180.55,+1.11,+0.62%,180.55,180.55,180.55,
24-Jan-2018,179.44,-0.99,-0.55%,179.44,179.44,179.44,
23-Jan-2018,180.43,+0.62,+0.34%,180.43,180.43,180.43,
22-Jan-2018,179.81,-0.36,-0.20%,179.81,179.81,179.81,
19-Jan-2018,180.17,+1.68,+0.94%,180.17,180.17,180.17,
18-Jan-2018,178.49,+0.82,+0.46%,178.49,178.49,178.49,
17-Jan-2018,177.67,-0.16,-0.09%,177.67,177.67,177.67,
16-Jan-2018,177.83,+0.46,+0.26%,177.83,177.83,177.83,
15-Jan-2018,177.37,+1.30,+0.74%,177.37,177.37,177.37,
12-Jan-2018,176.07,+1.87,+1.07%,176.07,176.07,176.07,
11-Jan-2018,174.20,+0.44,+0.25%,174.20,174.20,174.20,
10-Jan-2018,173.76,-0.38,-0.22%,173.76,173.76,173.76,
09-Jan-2018,174.14,+0.21,+0.12%,174.14,174.14,174.14,
08-Jan-2018,173.93,-0.24,-0.14%,173.93,173.93,173.93,
05-Jan-2018,174.17,+2.50,+1.46%,174.17,174.17,174.17,
04-Jan-2018,171.67,+0.69,+0.40%,171.67,171.67,171.67,
03-Jan-2018,170.98,-0.18,-0.11%,170.98,170.98,170.98,
02-Jan-2018,171.16,-0.04,-0.02%,171.16,171.16,171.16,
29-Dec-2017,171.20,+1.56,+0.92%,171.20,171.20,171.20,
28-Dec-2017,169.64,-0.36,-0.21%,169.64,169.64,169.64,
27-Dec-2017,170.00,-1.62,-0.94%,170.00,170.00,170.00,
22-Dec-2017,171.62,+0.26,+0.15%,171.62,171.62,171.62,
21-Dec-2017,171.36,+1.37,+0.81%,171.36,171.36,171.36,
20-Dec-2017,169.99,-0.17,-0.10%,169.99,169.99,169.99,
19-Dec-2017,170.16,-0.43,-0.25%,170.16,170.16,170.16,
18-Dec-2017,170.59,-1.56,-0.91%,170.59,170.59,170.59,
15-Dec-2017,172.15,-0.73,-0.42%,172.15,172.15,172.15,
14-Dec-2017,172.88,-1.26,-0.72%,172.88,172.88,172.88,
13-Dec-2017,174.14,-1.86,-1.06%,174.14,174.14,174.14,
11-Dec-2017,176.00,+0.73,+0.42%,176.00,176.00,176.00,
08-Dec-2017,175.27,+0.19,+0.11%,175.27,175.27,175.27,
07-Dec-2017,175.08,+1.45,+0.84%,175.08,175.08,175.08,
06-Dec-2017,173.63,+0.33,+0.19%,173.63,173.63,173.63,
05-Dec-2017,173.30,-0.31,-0.18%,173.30,173.30,173.30,
04-Dec-2017,173.61,+0.53,+0.31%,173.61,173.61,173.61,
01-Dec-2017,173.08,+0.16,+0.09%,173.08,173.08,173.08,
30-Nov-2017,172.92,+0.19,+0.11%,172.92,172.92,172.92,
29-Nov-2017,172.73,+1.93,+1.13%,172.73,172.73,172.73,
27-Nov-2017,170.80,+2.37,+1.41%,170.80,170.80,170.80,
24-Nov-2017,168.43,+0.53,+0.32%,168.43,168.43,168.43,
23-Nov-2017,167.90,-4.27,-2.48%,167.90,167.90,167.90,
22-Nov-2017,172.17,+3.90,+2.32%,172.17,172.17,172.17,
21-Nov-2017,168.27,+3.45,+2.09%,168.27,168.27,168.27,
20-Nov-2017,164.82,+1.69,+1.04%,164.82,164.82,164.82,
17-Nov-2017,163.13,+0.63,+0.39%,163.13,163.13,163.13,
16-Nov-2017,162.50,+0.86,+0.53%,162.50,162.50,162.50,
15-Nov-2017,161.64,+1.63,+1.02%,161.64,161.64,161.64,
14-Nov-2017,160.01,-0.33,-0.21%,160.01,160.01,160.01,
13-Nov-2017,160.34,-0.63,-0.39%,160.34,160.34,160.34,
10-Nov-2017,160.97,-0.79,-0.49%,160.97,160.97,160.97,
09-Nov-2017,161.76,-0.23,-0.14%,161.76,161.76,161.76,
08-Nov-2017,161.99,+0.65,+0.40%,161.99,161.99,161.99,
07-Nov-2017,161.34,-1.75,-1.07%,161.34,161.34,161.34,
06-Nov-2017,163.09,-1.41,-0.86%,163.09,163.09,163.09,
03-Nov-2017,164.50,+1.02,+0.62%,164.50,164.50,164.50,
02-Nov-2017,163.48,-0.48,-0.29%,163.48,163.48,163.48,
01-Nov-2017,163.96,+1.97,+1.22%,163.96,163.96,163.96,
31-Oct-2017,161.99,+1.88,+1.17%,161.99,161.99,161.99,
30-Oct-2017,160.11,+0.24,+0.15%,160.11,160.11,160.11,
27-Oct-2017,159.87,+1.76,+1.11%,159.87,159.87,159.87,
24-Oct-2017,158.11,+2.04,+1.31%,158.11,158.11,158.11,
23-Oct-2017,156.07,+1.14,+0.74%,156.07,156.07,156.07,
19-Oct-2017,154.93,-1.73,-1.10%,154.93,154.93,154.93,
18-Oct-2017,156.66,-0.78,-0.50%,156.66,156.66,156.66,
17-Oct-2017,157.44,-1.08,-0.68%,157.44,157.44,157.44,
16-Oct-2017,158.52,-0.73,-0.46%,158.52,158.52,158.52,
13-Oct-2017,159.25,+0.15,+0.09%,159.25,159.25,159.25,
12-Oct-2017,159.10,-0.68,-0.43%,159.10,159.10,159.10,
11-Oct-2017,159.78,-1.07,-0.67%,159.78,159.78,159.78,
10-Oct-2017,160.85,-0.18,-0.11%,160.85,160.85,160.85,
09-Oct-2017,161.03,+0.32,+0.20%,161.03,161.03,161.03,
06-Oct-2017,160.71,-0.26,-0.16%,160.71,160.71,160.71,
05-Oct-2017,160.97,-0.59,-0.37%,160.97,160.97,160.97,
04-Oct-2017,161.56,-0.53,-0.33%,161.56,161.56,161.56,
03-Oct-2017,162.09,+0.92,+0.57%,162.09,162.09,162.09,
02-Oct-2017,161.17,-1.04,-0.64%,161.17,161.17,161.17,
29-Sep-2017,162.21,-1.17,-0.72%,162.21,162.21,162.21,
28-Sep-2017,163.38,-1.63,-0.99%,163.38,163.38,163.38,
27-Sep-2017,165.01,-1.01,-0.61%,165.01,165.01,165.01,
26-Sep-2017,166.02,+0.30,+0.18%,166.02,166.02,166.02,
25-Sep-2017,165.72,-0.19,-0.11%,165.72,165.72,165.72,
22-Sep-2017,165.91,-0.11,-0.07%,165.91,165.91,165.91,
21-Sep-2017,166.02,+1.24,+0.75%,166.02,166.02,166.02,
20-Sep-2017,164.78,+0.84,+0.51%,164.78,164.78,164.78,
19-Sep-2017,163.94,+1.91,+1.18%,163.94,163.94,163.94,
18-Sep-2017,162.03,-2.46,-1.50%,162.03,162.03,162.03,
15-Sep-2017,164.49,+0.01,+0.01%,164.49,164.49,164.49,
14-Sep-2017,164.48,+0.31,+0.19%,164.48,164.48,164.48,
13-Sep-2017,164.17,-2.59,-1.55%,164.17,164.17,164.17,
12-Sep-2017,166.76,+0.44,+0.26%,166.76,166.76,166.76,
11-Sep-2017,166.32,+0.67,+0.40%,166.32,166.32,166.32,
08-Sep-2017,165.65,+1.65,+1.01%,165.65,165.65,165.65,
07-Sep-2017,164.00,+1.73,+1.07%,164.00,164.00,164.00,
06-Sep-2017,162.27,+0.37,+0.23%,162.27,162.27,162.27,
05-Sep-2017,161.90,+1.57,+0.98%,161.90,161.90,161.90,
04-Sep-2017,160.33,-2.58,-1.58%,160.33,160.33,160.33,
01-Sep-2017,162.91,-6.25,-3.69%,162.91,162.91,162.91,
31-Aug-2017,169.16,-2.05,-1.20%,169.16,169.16,169.16,
30-Aug-2017,171.21,-1.54,-0.89%,171.21,171.21,171.21,
29-Aug-2017,172.75,-0.72,-0.42%,172.75,172.75,172.75,
28-Aug-2017,173.47,+1.16,+0.67%,173.47,173.47,173.47,
25-Aug-2017,172.31,+3.62,+2.15%,172.31,172.31,172.31,
24-Aug-2017,168.69,+1.16,+0.69%,168.69,168.69,168.69,
23-Aug-2017,167.53,+0.96,+0.58%,167.53,167.53,167.53,
22-Aug-2017,166.57,-0.04,-0.02%,166.57,166.57,166.57,
21-Aug-2017,166.61,+1.41,+0.85%,166.61,166.61,166.61,
18-Aug-2017,165.20,-0.88,-0.53%,165.20,165.20,165.20,
17-Aug-2017,166.08,-0.71,-0.43%,166.08,166.08,166.08,
16-Aug-2017,166.79,-1.92,-1.14%,166.79,166.79,166.79,
15-Aug-2017,168.71,-0.10,-0.06%,168.71,168.71,168.71,
14-Aug-2017,168.81,+3.81,+2.31%,168.81,168.81,168.81,
11-Aug-2017,165.00,+2.26,+1.39%,165.00,165.00,165.00,
10-Aug-2017,162.74,+2.20,+1.37%,162.74,162.74,162.74,
09-Aug-2017,160.54,+1.71,+1.08%,160.54,160.54,160.54,
07-Aug-2017,158.83,+0.66,+0.42%,158.83,158.83,158.83,
04-Aug-2017,158.17,-0.77,-0.48%,158.17,158.17,158.17,
03-Aug-2017,158.94,0.00,0.00%,158.94,158.94,158.94,
02-Aug-2017,158.94,+0.59,+0.37%,158.94,158.94,158.94,
01-Aug-2017,158.35,-3.00,-1.86%,158.35,158.35,158.35,
31-Jul-2017,161.35,+0.17,+0.11%,161.35,161.35,161.35,
28-Jul-2017,161.18,+2.78,+1.76%,161.18,161.18,161.18,
27-Jul-2017,158.40,+0.05,+0.03%,158.40,158.40,158.40,
26-Jul-2017,158.35,+1.30,+0.83%,158.35,158.35,158.35,
25-Jul-2017,157.05,+0.94,+0.60%,157.05,157.05,157.05,
24-Jul-2017,156.11,+0.81,+0.52%,156.11,156.11,156.11,
21-Jul-2017,155.30,+0.99,+0.64%,155.30,155.30,155.30,
20-Jul-2017,154.31,+0.12,+0.08%,154.31,154.31,154.31,
19-Jul-2017,154.19,+0.13,+0.08%,154.19,154.19,154.19,
18-Jul-2017,154.06,+0.43,+0.28%,154.06,154.06,154.06,
17-Jul-2017,153.63,+0.50,+0.33%,153.63,153.63,153.63,
14-Jul-2017,153.13,+0.14,+0.09%,153.13,153.13,153.13,
13-Jul-2017,152.99,+0.43,+0.28%,152.99,152.99,152.99,
12-Jul-2017,152.56,+0.37,+0.24%,152.56,152.56,152.56,
11-Jul-2017,152.19,+0.07,+0.05%,152.19,152.19,152.19,
10-Jul-2017,152.12,-0.12,-0.08%,152.12,152.12,152.12,
07-Jul-2017,152.24,+0.74,+0.49%,152.24,152.24,152.24,
06-Jul-2017,151.50,+0.15,+0.10%,151.50,151.50,151.50,
05-Jul-2017,151.35,-0.53,-0.35%,151.35,151.35,151.35,
04-Jul-2017,151.88,-0.75,-0.49%,151.88,151.88,151.88,
03-Jul-2017,152.63,-0.29,-0.19%,152.63,152.63,152.63,
30-Jun-2017,152.92,-0.30,-0.20%,152.92,152.92,152.92,
29-Jun-2017,153.22,-1.10,-0.71%,153.22,153.22,153.22,
28-Jun-2017,154.32,-1.24,-0.80%,154.32,154.32,154.32,
27-Jun-2017,155.56,+0.97,+0.63%,155.56,155.56,155.56,
23-Jun-2017,154.59,+0.24,+0.16%,154.59,154.59,154.59,
22-Jun-2017,154.35,+1.12,+0.73%,154.35,154.35,154.35,
21-Jun-2017,153.23,+0.49,+0.32%,153.23,153.23,153.23,
20-Jun-2017,152.74,-0.23,-0.15%,152.74,152.74,152.74,
19-Jun-2017,152.97,-1.11,-0.72%,152.97,152.97,152.97,
16-Jun-2017,154.08,+1.14,+0.75%,154.08,154.08,154.08,
15-Jun-2017,152.94,+0.89,+0.59%,152.94,152.94,152.94,
14-Jun-2017,152.05,-0.88,-0.58%,152.05,152.05,152.05,
13-Jun-2017,152.93,+2.51,+1.67%,152.93,152.93,152.93,
12-Jun-2017,150.42,-0.11,-0.07%,150.42,150.42,150.42,
09-Jun-2017,150.53,+1.25,+0.84%,150.53,150.53,150.53,
08-Jun-2017,149.28,-0.01,-0.01%,149.28,149.28,149.28,
07-Jun-2017,149.29,+1.04,+0.70%,149.29,149.29,149.29,
06-Jun-2017,148.25,-1.38,-0.92%,148.25,148.25,148.25,
05-Jun-2017,149.63,-0.45,-0.30%,149.63,149.63,149.63,
02-Jun-2017,150.08,+1.68,+1.13%,150.08,150.08,150.08,
31-May-2017,148.40,+3.78,+2.61%,148.40,148.40,148.40,
30-May-2017,144.62,-0.97,-0.67%,144.62,144.62,144.62,
29-May-2017,145.59,-1.48,-1.01%,145.59,145.59,145.59,
26-May-2017,147.07,+1.52,+1.04%,147.07,147.07,147.07,
25-May-2017,145.55,+2.07,+1.44%,145.55,145.55,145.55,
24-May-2017,143.48,+2.71,+1.93%,143.48,143.48,143.48,
23-May-2017,140.77,-0.06,-0.04%,140.77,140.77,140.77,
22-May-2017,140.83,+1.37,+0.98%,140.83,140.83,140.83,
19-May-2017,139.46,+0.61,+0.44%,139.46,139.46,139.46,
18-May-2017,138.85,+1.73,+1.26%,138.85,138.85,138.85,
17-May-2017,137.12,-0.55,-0.40%,137.12,137.12,137.12,
16-May-2017,137.67,-0.10,-0.07%,137.67,137.67,137.67,
15-May-2017,137.77,-0.03,-0.02%,137.77,137.77,137.77,
12-May-2017,137.80,+0.16,+0.12%,137.80,137.80,137.80,
11-May-2017,137.64,+1.76,+1.30%,137.64,137.64,137.64,
10-May-2017,135.88,-0.08,-0.06%,135.88,135.88,135.88,
09-May-2017,135.96,-0.86,-0.63%,135.96,135.96,135.96,
08-May-2017,136.82,+1.60,+1.18%,136.82,136.82,136.82,
05-May-2017,135.22,+0.64,+0.48%,135.22,135.22,135.22,
04-May-2017,134.58,+0.51,+0.38%,134.58,134.58,134.58,
03-May-2017,134.07,+0.07,+0.05%,134.07,134.07,134.07,
02-May-2017,134.00,+0.72,+0.54%,134.00,134.00,134.00,
28-Apr-2017,133.28,+0.04,+0.03%,133.28,133.28,133.28,
27-Apr-2017,133.24,+0.11,+0.08%,133.24,133.24,133.24,
26-Apr-2017,133.13,+0.42,+0.32%,133.13,133.13,133.13,
25-Apr-2017,132.71,-0.94,-0.70%,132.71,132.71,132.71,
24-Apr-2017,133.65,+0.15,+0.11%,133.65,133.65,133.65,
21-Apr-2017,133.50,-0.28,-0.21%,133.50,133.50,133.50,
20-Apr-2017,133.78,-0.03,-0.02%,133.78,133.78,133.78,
19-Apr-2017,133.81,-1.27,-0.94%,133.81,133.81,133.81,
13-Apr-2017,135.08,+0.52,+0.39%,135.08,135.08,135.08,
12-Apr-2017,134.56,+1.11,+0.83%,134.56,134.56,134.56,
11-Apr-2017,133.45,+0.15,+0.11%,133.45,133.45,133.45,
10-Apr-2017,133.30,+0.35,+0.26%,133.30,133.30,133.30,
07-Apr-2017,132.95,+0.32,+0.24%,132.95,132.95,132.95,
06-Apr-2017,132.63,+1.31,+1.00%,132.63,132.63,132.63,
05-Apr-2017,131.32,+0.13,+0.10%,131.32,131.32,131.32,
04-Apr-2017,131.19,-0.31,-0.24%,131.19,131.19,131.19,
03-Apr-2017,131.50,+0.99,+0.76%,131.50,131.50,131.50,
31-Mar-2017,130.51,+0.08,+0.06%,130.51,130.51,130.51,
30-Mar-2017,130.43,-0.18,-0.14%,130.43,130.43,130.43,
29-Mar-2017,130.61,-0.91,-0.69%,130.61,130.61,130.61,
28-Mar-2017,131.52,+0.10,+0.08%,131.52,131.52,131.52,
27-Mar-2017,131.42,+0.81,+0.62%,131.42,131.42,131.42,
24-Mar-2017,130.61,+0.71,+0.55%,130.61,130.61,130.61,
23-Mar-2017,129.90,+1.52,+1.18%,129.90,129.90,129.90,
22-Mar-2017,128.38,+0.60,+0.47%,128.38,128.38,128.38,
21-Mar-2017,127.78,+0.58,+0.46%,127.78,127.78,127.78,
20-Mar-2017,127.20,+0.59,+0.47%,127.20,127.20,127.20,
17-Mar-2017,126.61,+1.85,+1.48%,126.61,126.61,126.61,
16-Mar-2017,124.76,-0.54,-0.43%,124.76,124.76,124.76,
15-Mar-2017,125.30,-1.49,-1.18%,125.30,125.30,125.30,
14-Mar-2017,126.79,+2.24,+1.80%,126.79,126.79,126.79,
13-Mar-2017,124.55,+2.08,+1.70%,124.55,124.55,124.55,
10-Mar-2017,122.47,+2.62,+2.19%,122.47,122.47,122.47,
09-Mar-2017,119.85,+0.23,+0.19%,119.85,119.85,119.85,
08-Mar-2017,119.62,-1.34,-1.11%,119.62,119.62,119.62,
07-Mar-2017,120.96,-0.47,-0.39%,120.96,120.96,120.96,
06-Mar-2017,121.43,-0.30,-0.25%,121.43,121.43,121.43,
03-Mar-2017,121.73,-0.60,-0.49%,121.73,121.73,121.73,
02-Mar-2017,122.33,-0.32,-0.26%,122.33,122.33,122.33,
