Nairobi Stock Exchange All Share Index | Price History                                          02-Jun-2023 20:00,,,,,,,
,,,,,,,
,,,,,,,
.NASI,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Apr-2011 - 31-Jul-2020,,,,,,,
,,,,,,,
,,,,,,,
.NASI Statistics     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,196.57,05-Apr-2018,Up,1184,Up,+4.11%,12-Oct-2016
Low,65.14,07-Dec-2011,Down,1099,Down,-5.51%,13-Mar-2020
Avg,135.82,,Unch,21,Period,+48.88%,01-Apr-2011 - 29-Jul-2020
,,,,,,,
,,,,,,,
.NASI History     Daily     01-Apr-2011 - 29-Jul-2020,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
01-Aug-2014,153.18,+1.49,+0.98%,153.18,153.18,153.18,
31-Jul-2014,151.69,+0.12,+0.08%,151.69,151.69,151.69,
30-Jul-2014,151.57,+1.17,+0.78%,151.57,151.57,151.57,
28-Jul-2014,150.40,-0.61,-0.40%,150.40,150.40,150.40,
24-Jul-2014,151.01,-0.52,-0.34%,151.01,151.01,151.01,
23-Jul-2014,151.53,+0.76,+0.50%,151.53,151.53,151.53,
22-Jul-2014,150.77,-0.30,-0.20%,150.77,150.77,150.77,
21-Jul-2014,151.07,-0.48,-0.32%,151.07,151.07,151.07,
18-Jul-2014,151.55,+0.52,+0.34%,151.55,151.55,151.55,
17-Jul-2014,151.03,+0.54,+0.36%,151.03,151.03,151.03,
16-Jul-2014,150.49,-0.63,-0.42%,150.49,150.49,150.49,
15-Jul-2014,151.12,-0.07,-0.05%,151.12,151.12,151.12,
14-Jul-2014,151.19,+0.07,+0.05%,151.19,151.19,151.19,
11-Jul-2014,151.12,-0.81,-0.53%,151.12,151.12,151.12,
10-Jul-2014,151.93,-0.27,-0.18%,151.93,151.93,151.93,
09-Jul-2014,152.20,-0.09,-0.06%,152.20,152.20,152.20,
08-Jul-2014,152.29,+0.27,+0.18%,152.29,152.29,152.29,
07-Jul-2014,152.02,-0.07,-0.05%,152.02,152.02,152.02,
04-Jul-2014,152.09,-0.54,-0.35%,152.09,152.09,152.09,
03-Jul-2014,152.63,-1.01,-0.66%,152.63,152.63,152.63,
02-Jul-2014,153.64,+1.53,+1.01%,153.64,153.64,153.64,
01-Jul-2014,152.11,+1.74,+1.16%,152.11,152.11,152.11,
30-Jun-2014,150.37,+0.68,+0.45%,150.37,150.37,150.37,
27-Jun-2014,149.69,+0.17,+0.11%,149.69,149.69,149.69,
26-Jun-2014,149.52,-0.14,-0.09%,149.52,149.52,149.52,
25-Jun-2014,149.66,-0.26,-0.17%,149.66,149.66,149.66,
24-Jun-2014,149.92,-0.25,-0.17%,149.92,149.92,149.92,
23-Jun-2014,150.17,+0.45,+0.30%,150.17,150.17,150.17,
20-Jun-2014,149.72,+0.31,+0.21%,149.72,149.72,149.72,
19-Jun-2014,149.41,+0.39,+0.26%,149.41,149.41,149.41,
18-Jun-2014,149.02,+0.18,+0.12%,149.02,149.02,149.02,
17-Jun-2014,148.84,-0.63,-0.42%,148.84,148.84,148.84,
16-Jun-2014,149.47,-1.13,-0.75%,149.47,149.47,149.47,
13-Jun-2014,150.60,+0.56,+0.37%,150.60,150.60,150.60,
12-Jun-2014,150.04,-0.05,-0.03%,150.04,150.04,150.04,
11-Jun-2014,150.09,-0.15,-0.10%,150.09,150.09,150.09,
10-Jun-2014,150.24,+0.63,+0.42%,150.24,150.24,150.24,
09-Jun-2014,149.61,+0.28,+0.19%,149.61,149.61,149.61,
06-Jun-2014,149.33,+0.04,+0.03%,149.33,149.33,149.33,
05-Jun-2014,149.29,+0.17,+0.11%,149.29,149.29,149.29,
03-Jun-2014,149.12,-1.08,-0.72%,149.12,149.12,149.12,
30-May-2014,150.20,+0.36,+0.24%,150.20,150.20,150.20,
29-May-2014,149.84,+0.67,+0.45%,149.84,149.84,149.84,
28-May-2014,149.17,-0.07,-0.05%,149.17,149.17,149.17,
27-May-2014,149.24,-0.17,-0.11%,149.24,149.24,149.24,
26-May-2014,149.41,-0.39,-0.26%,149.41,149.41,149.41,
23-May-2014,149.80,-0.25,-0.17%,149.80,149.80,149.80,
22-May-2014,150.05,-0.26,-0.17%,150.05,150.05,150.05,
21-May-2014,150.31,-0.20,-0.13%,150.31,150.31,150.31,
20-May-2014,150.51,-0.07,-0.05%,150.51,150.51,150.51,
19-May-2014,150.58,-0.57,-0.38%,150.58,150.58,150.58,
16-May-2014,151.15,+0.42,+0.28%,151.15,151.15,151.15,
15-May-2014,150.73,-0.55,-0.36%,150.73,150.73,150.73,
14-May-2014,151.28,-0.99,-0.65%,151.28,151.28,151.28,
13-May-2014,152.27,-0.40,-0.26%,152.27,152.27,152.27,
12-May-2014,152.67,+0.72,+0.47%,152.67,152.67,152.67,
09-May-2014,151.95,+0.17,+0.11%,151.95,151.95,151.95,
08-May-2014,151.78,+0.01,+0.01%,151.78,151.78,151.78,
07-May-2014,151.77,+0.34,+0.22%,151.77,151.77,151.77,
06-May-2014,151.43,-0.17,-0.11%,151.43,151.43,151.43,
05-May-2014,151.60,-0.25,-0.16%,151.60,151.60,151.60,
02-May-2014,151.85,+0.72,+0.48%,151.85,151.85,151.85,
30-Apr-2014,151.13,-0.05,-0.03%,151.13,151.13,151.13,
29-Apr-2014,151.18,+0.73,+0.49%,151.18,151.18,151.18,
28-Apr-2014,150.45,-0.01,-0.01%,150.45,150.45,150.45,
25-Apr-2014,150.46,+0.51,+0.34%,150.46,150.46,150.46,
24-Apr-2014,149.95,+1.49,+1.00%,149.95,149.95,149.95,
23-Apr-2014,148.46,+0.24,+0.16%,148.46,148.46,148.46,
22-Apr-2014,148.22,+0.11,+0.07%,148.22,148.22,148.22,
17-Apr-2014,148.11,+0.74,+0.50%,148.11,148.11,148.11,
16-Apr-2014,147.37,+0.95,+0.65%,147.37,147.37,147.37,
15-Apr-2014,146.42,+1.01,+0.69%,146.42,146.42,146.42,
14-Apr-2014,145.41,+0.27,+0.19%,145.41,145.41,145.41,
11-Apr-2014,145.14,+0.78,+0.54%,145.14,145.14,145.14,
10-Apr-2014,144.36,+0.68,+0.47%,144.36,144.36,144.36,
09-Apr-2014,143.68,+0.81,+0.57%,143.68,143.68,143.68,
08-Apr-2014,142.87,+0.08,+0.06%,142.87,142.87,142.87,
07-Apr-2014,142.79,-0.61,-0.43%,142.79,142.79,142.79,
04-Apr-2014,143.40,-0.51,-0.35%,143.40,143.40,143.40,
03-Apr-2014,143.91,+0.14,+0.10%,143.91,143.91,143.91,
02-Apr-2014,143.77,+0.01,+0.01%,143.77,143.77,143.77,
01-Apr-2014,143.76,-0.13,-0.09%,143.76,143.76,143.76,
31-Mar-2014,143.89,-0.49,-0.34%,143.89,143.89,143.89,
28-Mar-2014,144.38,-0.17,-0.12%,144.38,144.38,144.38,
27-Mar-2014,144.55,-0.44,-0.30%,144.55,144.55,144.55,
26-Mar-2014,144.99,+0.26,+0.18%,144.99,144.99,144.99,
25-Mar-2014,144.73,-4.90,-3.27%,144.73,144.73,144.73,
24-Mar-2014,149.63,+5.13,+3.55%,149.63,149.63,149.63,
21-Mar-2014,144.50,0.00,0.00%,144.50,144.50,144.50,
20-Mar-2014,144.50,+0.78,+0.54%,144.50,144.50,144.50,
19-Mar-2014,143.72,+0.74,+0.52%,143.72,143.72,143.72,
18-Mar-2014,142.98,+0.04,+0.03%,142.98,142.98,142.98,
17-Mar-2014,142.94,-0.63,-0.44%,142.94,142.94,142.94,
14-Mar-2014,143.57,-0.72,-0.50%,143.57,143.57,143.57,
13-Mar-2014,144.29,+1.98,+1.39%,144.29,144.29,144.29,
12-Mar-2014,142.31,+0.43,+0.30%,142.31,142.31,142.31,
11-Mar-2014,141.88,+0.03,+0.02%,141.88,141.88,141.88,
10-Mar-2014,141.85,+0.98,+0.70%,141.85,141.85,141.85,
07-Mar-2014,140.87,-0.07,-0.05%,140.87,140.87,140.87,
06-Mar-2014,140.94,+0.82,+0.59%,140.94,140.94,140.94,
05-Mar-2014,140.12,-0.24,-0.17%,140.12,140.12,140.12,
04-Mar-2014,140.36,-0.49,-0.35%,140.36,140.36,140.36,
03-Mar-2014,140.85,-0.20,-0.14%,140.85,140.85,140.85,
28-Feb-2014,141.05,-0.06,-0.04%,141.05,141.05,141.05,
27-Feb-2014,141.11,+0.07,+0.05%,141.11,141.11,141.11,
26-Feb-2014,141.04,+0.39,+0.28%,141.04,141.04,141.04,
25-Feb-2014,140.65,+1.08,+0.77%,140.65,140.65,140.65,
24-Feb-2014,139.57,+1.13,+0.82%,139.57,139.57,139.57,
21-Feb-2014,138.44,+1.44,+1.05%,138.44,138.44,138.44,
20-Feb-2014,137.00,+0.63,+0.46%,137.00,137.00,137.00,
19-Feb-2014,136.37,+0.70,+0.52%,136.37,136.37,136.37,
18-Feb-2014,135.67,-0.84,-0.62%,135.67,135.67,135.67,
17-Feb-2014,136.51,-1.19,-0.86%,136.51,136.51,136.51,
14-Feb-2014,137.70,-0.01,-0.01%,137.70,137.70,137.70,
13-Feb-2014,137.71,-0.46,-0.33%,137.71,137.71,137.71,
12-Feb-2014,138.17,+0.09,+0.07%,138.17,138.17,138.17,
11-Feb-2014,138.08,+0.82,+0.60%,138.08,138.08,138.08,
10-Feb-2014,137.26,-0.09,-0.07%,137.26,137.26,137.26,
07-Feb-2014,137.35,-0.37,-0.27%,137.35,137.35,137.35,
06-Feb-2014,137.72,+1.00,+0.73%,137.72,137.72,137.72,
05-Feb-2014,136.72,+0.21,+0.15%,136.72,136.72,136.72,
04-Feb-2014,136.51,+1.93,+1.43%,136.51,136.51,136.51,
03-Feb-2014,134.58,-0.08,-0.06%,134.58,134.58,134.58,
31-Jan-2014,134.66,-4.40,-3.16%,134.66,134.66,134.66,
30-Jan-2014,139.06,-2.21,-1.56%,139.06,139.06,139.06,
29-Jan-2014,141.27,-2.09,-1.46%,141.27,141.27,141.27,
28-Jan-2014,143.36,-1.04,-0.72%,143.36,143.36,143.36,
27-Jan-2014,144.40,+1.67,+1.17%,144.40,144.40,144.40,
22-Jan-2014,142.73,+0.88,+0.62%,142.73,142.73,142.73,
21-Jan-2014,141.85,+0.74,+0.52%,141.85,141.85,141.85,
20-Jan-2014,141.11,+0.83,+0.59%,141.11,141.11,141.11,
17-Jan-2014,140.28,-0.07,-0.05%,140.28,140.28,140.28,
16-Jan-2014,140.35,-0.66,-0.47%,140.35,140.35,140.35,
15-Jan-2014,141.01,+0.22,+0.16%,141.01,141.01,141.01,
14-Jan-2014,140.79,+0.10,+0.07%,140.79,140.79,140.79,
13-Jan-2014,140.69,-0.81,-0.57%,140.69,140.69,140.69,
10-Jan-2014,141.50,-0.09,-0.06%,141.50,141.50,141.50,
09-Jan-2014,141.59,+1.24,+0.88%,141.59,141.59,141.59,
08-Jan-2014,140.35,+0.72,+0.52%,140.35,140.35,140.35,
07-Jan-2014,139.63,+1.13,+0.82%,139.63,139.63,139.63,
06-Jan-2014,138.50,+1.76,+1.29%,138.50,138.50,138.50,
03-Jan-2014,136.74,+0.18,+0.13%,136.74,136.74,136.74,
02-Jan-2014,136.56,-0.09,-0.07%,136.56,136.56,136.56,
31-Dec-2013,136.65,+0.82,+0.60%,136.65,136.65,136.65,
30-Dec-2013,135.83,+0.71,+0.53%,135.83,135.83,135.83,
27-Dec-2013,135.12,-0.10,-0.07%,135.12,135.12,135.12,
24-Dec-2013,135.22,+2.49,+1.88%,135.22,135.22,135.22,
23-Dec-2013,132.73,+0.56,+0.42%,132.73,132.73,132.73,
20-Dec-2013,132.17,+0.11,+0.08%,132.17,132.17,132.17,
19-Dec-2013,132.06,-0.17,-0.13%,132.06,132.06,132.06,
18-Dec-2013,132.23,+0.09,+0.07%,132.23,132.23,132.23,
17-Dec-2013,132.14,-1.39,-1.04%,132.14,132.14,132.14,
16-Dec-2013,133.53,-0.39,-0.29%,133.53,133.53,133.53,
11-Dec-2013,133.92,-0.70,-0.52%,133.92,133.92,133.92,
10-Dec-2013,134.62,-1.60,-1.17%,134.62,134.62,134.62,
09-Dec-2013,136.22,-0.48,-0.35%,136.22,136.22,136.22,
06-Dec-2013,136.70,-1.21,-0.88%,136.70,136.70,136.70,
05-Dec-2013,137.91,-1.95,-1.39%,137.91,137.91,137.91,
04-Dec-2013,139.86,-0.80,-0.57%,139.86,139.86,139.86,
03-Dec-2013,140.66,-0.18,-0.13%,140.66,140.66,140.66,
02-Dec-2013,140.84,-0.33,-0.23%,140.84,140.84,140.84,
29-Nov-2013,141.17,-1.41,-0.99%,141.17,141.17,141.17,
28-Nov-2013,142.58,+0.72,+0.51%,142.58,142.58,142.58,
27-Nov-2013,141.86,+0.78,+0.55%,141.86,141.86,141.86,
26-Nov-2013,141.08,+1.00,+0.71%,141.08,141.08,141.08,
25-Nov-2013,140.08,+1.25,+0.90%,140.08,140.08,140.08,
22-Nov-2013,138.83,+0.69,+0.50%,138.83,138.83,138.83,
21-Nov-2013,138.14,+1.88,+1.38%,138.14,138.14,138.14,
20-Nov-2013,136.26,+0.59,+0.43%,136.26,136.26,136.26,
19-Nov-2013,135.67,+0.10,+0.07%,135.67,135.67,135.67,
18-Nov-2013,135.57,+0.44,+0.33%,135.57,135.57,135.57,
15-Nov-2013,135.13,+0.02,+0.01%,135.13,135.13,135.13,
14-Nov-2013,135.11,+0.42,+0.31%,135.11,135.11,135.11,
13-Nov-2013,134.69,+0.05,+0.04%,134.69,134.69,134.69,
12-Nov-2013,134.64,+0.12,+0.09%,134.64,134.64,134.64,
11-Nov-2013,134.52,-0.19,-0.14%,134.52,134.52,134.52,
08-Nov-2013,134.71,-0.58,-0.43%,134.71,134.71,134.71,
07-Nov-2013,135.29,+0.59,+0.44%,135.29,135.29,135.29,
06-Nov-2013,134.70,+0.43,+0.32%,134.70,134.70,134.70,
04-Nov-2013,134.27,+0.40,+0.30%,134.27,134.27,134.27,
01-Nov-2013,133.87,+0.63,+0.47%,133.87,133.87,133.87,
31-Oct-2013,133.24,+1.21,+0.92%,133.24,133.24,133.24,
30-Oct-2013,132.03,+1.30,+0.99%,132.03,132.03,132.03,
28-Oct-2013,130.73,-0.33,-0.25%,130.73,130.73,130.73,
25-Oct-2013,131.06,-0.50,-0.38%,131.06,131.06,131.06,
24-Oct-2013,131.56,0.00,0.00%,131.56,131.56,131.56,
23-Oct-2013,131.56,+0.24,+0.18%,131.56,131.56,131.56,
18-Oct-2013,131.32,+0.65,+0.50%,131.32,131.32,131.32,
17-Oct-2013,130.67,-0.20,-0.15%,130.67,130.67,130.67,
16-Oct-2013,130.87,-0.03,-0.02%,130.87,130.87,130.87,
15-Oct-2013,130.90,-0.41,-0.31%,130.90,130.90,130.90,
14-Oct-2013,131.31,-0.56,-0.42%,131.31,131.31,131.31,
